Gender,Age,Daily meals frequency,Physical exercise,Height,Weight,BMR,Carbs,Proteins,Fats,Calories,BMI
1,19,3,1,160,56,1304,224.125,89.65,59.767,1793.003,21.875
1,50,3,0,152,82,1359,203.85,81.54,54.36,1630.8,35.49168975
0,20,3,1,173,64,1626.25,279.512,111.805,74.536,2236.092,21.383942
0,32,3,0,165,50,1376.25,206.438,82.575,55.05,1651.502,18.36547291
1,35,2,0,165,58,1275.25,191.288,76.515,51.01,1530.302,21.30394858
1,48,4,0,142,74,1226.5,183.975,73.59,49.06,1471.8,36.69906765
1,21,3,0,163,60,1352.75,202.912,81.165,54.11,1623.298,22.58270917
1,25,3,0,142,95,1551.5,232.725,93.09,62.06,1861.8,47.11366792
1,20,3,1,160,60,1339,230.141,92.056,61.371,1841.127,23.4375
0,23,3,0,170,52,1472.5,220.875,88.35,58.9,1767,17.99307958
1,20,2,0,168,65,1439,215.85,86.34,57.56,1726.8,23.03004535
0,24,2,0,165,49,1406.25,210.938,84.375,56.25,1687.502,17.99816345
0,30,3,1,173,94,1876.25,322.48,128.992,85.995,2579.843,31.40766481
1,48,3,0,140,73,1204,180.6,72.24,48.16,1444.8,37.24489796
0,22,2,0,173,65,1626.25,243.938,97.575,65.05,1951.502,21.71806609
0,23,2,0,173,69,1661.25,249.188,99.675,66.45,1993.502,23.05456246
0,22,3,0,160,119,2085,312.75,125.1,83.4,2502,46.484375
1,22,3,2,155,56,1257.75,243.689,97.476,64.984,1949.516,23.30905307
0,19,2,3,183,72,1773.75,382.465,152.986,101.991,3059.723,21.49959688
1,25,4,0,160,58,1294,194.1,77.64,51.76,1552.8,22.65625
0,25,3,0,175,106,2033.75,305.062,122.025,81.35,2440.498,34.6122449
0,23,3,0,178,64,1642.5,246.375,98.55,65.7,1971,20.19946976
1,27,3,1,135,62,1167.75,200.707,80.283,53.522,1605.658,34.01920439
0,26,2,0,168,88,1805,270.75,108.3,72.2,2166,31.17913832
1,22,3,4,163,54,1287.75,305.841,122.336,81.557,2446.721,20.32443826
1,25,4,0,160,94,1654,248.1,99.24,66.16,1984.8,36.71875
0,26,3,0,170,109,2027.5,304.125,121.65,81.1,2433,37.71626298
0,26,2,0,173,92,1876.25,281.438,112.575,75.05,2251.502,30.73941662
1,27,4,0,163,70,1422.75,213.412,85.365,56.91,1707.298,26.34649403
0,23,3,4,173,72,1691.25,401.672,160.669,107.112,3213.372,24.05693475
0,21,4,4,168,68,1630,387.125,154.85,103.233,3096.997,24.09297052
0,42,3,0,168,110,1945,291.75,116.7,77.8,2334,38.9739229
0,23,4,0,178,70,1702.5,255.375,102.15,68.1,2043,22.09317005
1,26,4,0,180,72,1554,233.1,93.24,62.16,1864.8,22.22222222
0,21,3,0,168,75,1700,255,102,68,2040,26.57312925
0,20,2,0,170,70,1667.5,250.125,100.05,66.7,2001,24.22145329
0,20,3,0,173,50,1486.25,222.938,89.175,59.45,1783.502,16.70620468
0,27,3,0,173,82,1771.25,265.688,106.275,70.85,2125.502,27.39817568
0,22,3,0,173,74,1716.25,257.438,102.975,68.65,2059.502,24.72518293
1,26,3,0,155,86,1537.75,230.662,92.265,61.51,1845.298,35.79604579
0,24,4,0,168,77,1705,255.75,102.3,68.2,2046,27.28174603
0,24,2,4,178,85,1847.5,438.781,175.513,117.008,3510.248,26.82742078
0,28,3,0,168,50,1415,212.25,84.9,56.6,1698,17.7154195
0,28,4,1,183,112,2128.75,365.879,146.352,97.568,2927.036,33.44381737
0,62,3,4,165,57,1296.25,307.859,123.144,82.096,2462.876,20.93663912
0,35,4,0,155,87,1668.75,250.312,100.125,66.75,2002.498,36.21227888
1,25,3,0,163,48,1212.75,181.912,72.765,48.51,1455.298,18.06616734
1,21,3,0,157,51,1225.25,183.788,73.515,49.01,1470.302,20.69049454
1,16,3,2,157,45,1190.25,230.611,92.244,61.496,1844.884,18.25631871
1,33,3,0,157,41,1065.25,159.788,63.915,42.61,1278.302,16.63353483
0,23,2,0,157,45,1321.25,198.188,79.275,52.85,1585.502,18.25631871
1,20,3,0,157,46,1180.25,177.038,70.815,47.21,1416.302,18.66201469
1,23,3,1,160,49,1214,208.656,83.462,55.642,1669.25,19.140625
0,25,4,0,168,102,1950,292.5,117,78,2340,36.13945578
1,24,2,0,147,46,1097.75,164.662,65.865,43.91,1317.298,21.28742654
0,24,2,2,173,75,1716.25,332.523,133.009,88.673,2660.185,25.05930703
0,23,3,0,173,60,1571.25,235.688,94.275,62.85,1885.502,20.04744562
1,20,3,0,163,54,1297.75,194.662,77.865,51.91,1557.298,20.32443826
0,22,3,0,170,76,1717.5,257.625,103.05,68.7,2061,26.29757785
1,19,4,0,168,41,1204,180.6,72.24,48.16,1444.8,14.52664399
1,20,3,2,163,81,1567.75,303.752,121.501,81,2430.012,30.48665738
0,22,3,0,175,60,1588.75,238.312,95.325,63.55,1906.498,19.59183673
1,21,3,0,155,57,1272.75,190.912,76.365,50.91,1527.298,23.72528616
0,25,4,3,185,87,1906.25,411.035,164.414,109.609,3288.277,25.42001461
1,50,3,0,145,104,1535.25,230.288,92.115,61.41,1842.302,49.46492271
0,20,3,0,180,75,1780,267,106.8,71.2,2136,23.14814815
1,46,2,0,157,45,1040.25,156.038,62.415,41.61,1248.302,18.25631871
1,18,4,0,140,72,1344,201.6,80.64,53.76,1612.8,36.73469388
0,21,2,1,173,68,1661.25,285.527,114.211,76.141,2284.221,22.72043837
0,23,3,0,178,72,1722.5,258.375,103.35,68.9,2067,22.72440348
0,23,3,0,180,63,1645,246.75,98.7,65.8,1974,19.44444444
0,25,2,0,155,41,1258.75,188.812,75.525,50.35,1510.498,17.06555671
1,22,2,0,170,82,1611.5,241.725,96.69,64.46,1933.8,28.37370242
